Kota,Suhu (°C),Cuaca,Deskripsi
Birayang,24.12,Cuaca,hujan rintik-rintik
BanjarBaru,24.99,Cuaca,hujan rintik-rintik
BanjarMasin,25.08,Cuaca,hujan sedang
